State;Sex;Title;Reward;Description;Link;Additional;Fields of study
Alabama;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;"
Generic";Any Major
Alabama;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;"
Generic";Any Major
Alabama;Male;Horatio Alger State Scholarship - Alabama;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Alabama;Male;American Legion Auxiliary Scholarship Program;Varies;A grant award to be used for tuition, fees and board expenses to attend a public postsecondary educational institution in Alabama. Awards are restricted to students who attend institutions having on-campus housing.;;Military;Any Major
Alabama;Male;Alabama National Guard Educational Assistance Program;$2,000;An award to be used for tuition, educational fees and book/supplies for Alabama National Guard members to attend a public postsecondary educational institution in Alabama.;;Military;Any Major
Alabama;Male;Alabama Scholarships for Dependents of Blind Parents;Varies;An award to cover instructional fees and tuition at an Alabama state institution of higher learning for children from families in which the head of the family is blind and whose family income is insufficient to provide educational benefits.;;Generic;Any Major
Alabama;Male;Alabama Student Assistance Program;Varies;Need-based, state/federal grant ranging from $300 to $5,000 per academic year. Awards are limited to undergraduate work.;;Generic;Any Major
Alabama;Male;Alabama Student Grant Program;$1,200;An award of grant assistance at an eligible independent Alabama college or university. Is not based on need. Up to $1200 per academic year with maximum amount available only when sufficient funds are available.;;Generic;Any Major
Alabama;Male;Junior and Community College Athletic Scholarship Program;Varies;An award not to exceed total tuition and books for attendance at public junior and community colleges in Alabama. Awards are based on demonstrated athletic ability determined through try-outs. Limits on various sports apply. Awards are not based on financial need.;;Generic;Any Major
Alabama;Male;Junior and Community College Performing Arts Scholarship Program;Varies;An award not to exceed in-state tuition only for attendance at public junior and community colleges in Alabama. Awards are based on demonstrated talent determined through competitive auditions. Awards are not based on financial needs.;;Generic;Any Major
Alabama;Male;Police Officer's and Firefighter's Survivor's Educational Assistance Program;Full Tuition;A grant covering tuition, fees, books and supplies for dependents and eligible spouses of Alabama police officers and firefighters killed in the line of duty. There is no limit on the amount awarded to recipients. Awards are available for undergraduate study in public institutions in Alabama.;;Generic;Any Major
Alabama;Male;Senior Adult Scholarship Program;Full Tuition;A free tuition program for senior citizens (persons aged 60 or over) who meet the admission requirements and attend public two-year postsecondary institutions in Alabama.;;Generic;Any Major
Alabama;Male;Two-Year College Academic Scholarship Program;Full Tuition;An award not to exceed in-state tuition and books for attendance at public two-year postsecondary educational institutions in Alabama. Awards are based on demonstrated academic merit as determined by the institutional scholarship committee. Awards are not based on financial need.;;Generic;Any Major
Alabama;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;"
Generic";Any Major
Alabama;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;"
Generic";Any Major
Alabama;Female;Horatio Alger State Scholarship - Alabama;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Alabama;Female;American Legion Auxiliary Scholarship Program;Varies;A grant award to be used for tuition, fees and board expenses to attend a public postsecondary educational institution in Alabama. Awards are restricted to students who attend institutions having on-campus housing.;;Military;Any Major
Alabama;Female;Alabama National Guard Educational Assistance Program;$2,000;An award to be used for tuition, educational fees and book/supplies for Alabama National Guard members to attend a public postsecondary educational institution in Alabama.;;Military;Any Major
Alabama;Female;Alabama Scholarships for Dependents of Blind Parents;Varies;An award to cover instructional fees and tuition at an Alabama state institution of higher learning for children from families in which the head of the family is blind and whose family income is insufficient to provide educational benefits.;;Generic;Any Major
Alabama;Female;Alabama Student Assistance Program;Varies;Need-based, state/federal grant ranging from $300 to $5,000 per academic year. Awards are limited to undergraduate work.;;Generic;Any Major
Alabama;Female;Alabama Student Grant Program;$1,200;An award of grant assistance at an eligible independent Alabama college or university. Is not based on need. Up to $1200 per academic year with maximum amount available only when sufficient funds are available.;;Generic;Any Major
Alabama;Female;Junior and Community College Athletic Scholarship Program;Varies;An award not to exceed total tuition and books for attendance at public junior and community colleges in Alabama. Awards are based on demonstrated athletic ability determined through try-outs. Limits on various sports apply. Awards are not based on financial need.;;Generic;Any Major
Alabama;Female;Junior and Community College Performing Arts Scholarship Program;Varies;An award not to exceed in-state tuition only for attendance at public junior and community colleges in Alabama. Awards are based on demonstrated talent determined through competitive auditions. Awards are not based on financial needs.;;Generic;Any Major
Alabama;Female;Police Officer's and Firefighter's Survivor's Educational Assistance Program;Full Tuition;A grant covering tuition, fees, books and supplies for dependents and eligible spouses of Alabama police officers and firefighters killed in the line of duty. There is no limit on the amount awarded to recipients. Awards are available for undergraduate study in public institutions in Alabama.;;Generic;Any Major
Alabama;Female;Senior Adult Scholarship Program;Full Tuition;A free tuition program for senior citizens (persons aged 60 or over) who meet the admission requirements and attend public two-year postsecondary institutions in Alabama.;;Generic;Any Major
Alabama;Female;Two-Year College Academic Scholarship Program;Full Tuition;An award not to exceed in-state tuition and books for attendance at public two-year postsecondary educational institutions in Alabama. Awards are based on demonstrated academic merit as determined by the institutional scholarship committee. Awards are not based on financial need.;;Generic;Any Major
Alaska;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
Alaska;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
Alaska;Male;Horatio Alger State Scholarship - Alaska;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
Alaska;Male;Alaska Education Grant;$4,000;The Alaska Education Grant Program provides need-based financial assistance to eligible Alaska students attending qualifying institutions in Alaska. Grant awards range from $500 to $3,000 per academic year for students who have qualifying unmet financial need. A portion of funds is set aside for applicants with exceptional academic preparation and for those enrolled in workforce shortage programs. Students with the highest financial need are awarded in order of need until funds are exhausted.;;Generic;Any Major
Alaska;Male;Alaska Performance Scholarship;$4,755;"The Alaska Performance Scholarship is an invitation to excellence for Alaska's students, parents, and educators. To qualify, students must take a specific, rigorous high school curriculum; earn a minimum 2.5 GPA; and do well on a college or career-readiness exam. Three award levels are available.";;Generic;Any Major
Alaska;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
